"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\emirk\Desktop\borsa-app-client\src\App.tsx", "TypeScript JSX", 38, 0, 0, 0, 3, 7, 48
"c:\Users\emirk\Desktop\borsa-app-client\src\DashboardView.tsx", "TypeScript JSX", 65, 0, 0, 0, 5, 4, 74
"c:\Users\emirk\Desktop\borsa-app-client\src\PortfolioView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 1
"c:\Users\emirk\Desktop\borsa-app-client\src\components\common\PriceTicker.css", "PostCSS", 0, 0, 34, 0, 0, 5, 39
"c:\Users\emirk\Desktop\borsa-app-client\src\components\common\PriceTicker.tsx", "TypeScript JSX", 41, 0, 0, 0, 4, 6, 51
"c:\Users\emirk\Desktop\borsa-app-client\src\components\common\StockChart.tsx", "TypeScript JSX", 521, 0, 0, 0, 14, 46, 581
"c:\Users\emirk\Desktop\borsa-app-client\src\components\common\portfolioService.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\emirk\Desktop\borsa-app-client\src\components\layout\Layout.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 1, 32
"c:\Users\emirk\Desktop\borsa-app-client\src\components\layout\Navbar.tsx", "TypeScript JSX", 223, 0, 0, 0, 4, 14, 241
"c:\Users\emirk\Desktop\borsa-app-client\src\components\layout\SettingsView.tsx", "TypeScript JSX", 79, 0, 0, 0, 1, 9, 89
"c:\Users\emirk\Desktop\borsa-app-client\src\components\layout\Sidebar.tsx", "TypeScript JSX", 88, 0, 0, 0, 0, 4, 92
"c:\Users\emirk\Desktop\borsa-app-client\src\components\portfolio\Holdings.tsx", "TypeScript JSX", 67, 0, 0, 0, 1, 3, 71
"c:\Users\emirk\Desktop\borsa-app-client\src\components\portfolio\PortfolioChart.tsx", "TypeScript JSX", 24, 0, 0, 0, 1, 2, 27
"c:\Users\emirk\Desktop\borsa-app-client\src\components\portfolio\PortfolioHistoryChart.tsx", "TypeScript JSX", 317, 0, 0, 0, 20, 44, 381
"c:\Users\emirk\Desktop\borsa-app-client\src\components\portfolio\PortfolioSummary.tsx", "TypeScript JSX", 61, 0, 0, 0, 0, 5, 66
"c:\Users\emirk\Desktop\borsa-app-client\src\components\portfolio\WalletManager.tsx", "TypeScript JSX", 575, 0, 0, 0, 5, 38, 618
"c:\Users\emirk\Desktop\borsa-app-client\src\context\StocksContext.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 7, 37
"c:\Users\emirk\Desktop\borsa-app-client\src\data\mockData.ts", "TypeScript", 0, 31, 0, 0, 5, 5, 41
"c:\Users\emirk\Desktop\borsa-app-client\src\data\sp500.json", "JSON", 0, 0, 0, 104, 0, 1, 105
"c:\Users\emirk\Desktop\borsa-app-client\src\index.css", "PostCSS", 0, 0, 13, 0, 0, 2, 15
"c:\Users\emirk\Desktop\borsa-app-client\src\main.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\Portfolio\PortfolioView.tsx", "TypeScript JSX", 422, 0, 0, 0, 24, 36, 482
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\comparison\ComparisonView.tsx", "TypeScript JSX", 470, 0, 0, 0, 27, 54, 551
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\dashboard\DashboardView.tsx", "TypeScript JSX", 886, 0, 0, 0, 47, 76, 1009
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\dashboard\HistoryView.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 6, 99
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\dashboard\SettingsView.tsx", "TypeScript JSX", 79, 0, 0, 0, 1, 8, 88
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\dashboard\StockDetailView.tsx", "TypeScript JSX", 681, 0, 0, 0, 22, 53, 756
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\dashboard\TransactionForm.tsx", "TypeScript JSX", 146, 0, 0, 0, 5, 13, 164
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\target\TargetView.tsx", "TypeScript JSX", 975, 0, 0, 0, 51, 86, 1112
"c:\Users\emirk\Desktop\borsa-app-client\src\pages\wallet\WalletView.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 2, 16
"c:\Users\emirk\Desktop\borsa-app-client\src\services\portfolioService.ts", "TypeScript", 0, 46, 0, 0, 6, 8, 60
"c:\Users\emirk\Desktop\borsa-app-client\src\services\walletService.ts", "TypeScript", 0, 31, 0, 0, 0, 2, 33
"Total", "-", 5938, 108, 47, 104, 246, 551, 6994